4.344400000000000000e+04	6.640100000000000000e+04
1.089880000000000000e+05	1.099950000000000000e+05
1.370770000000000000e+05	1.653320000000000000e+05
1.659090000000000000e+05	1.936020000000000000e+05
2.303020000000000000e+05	2.843910000000000000e+05
2.990180000000000000e+05	3.550920000000000000e+05
3.555940000000000000e+05	3.831050000000000000e+05
3.836170000000000000e+05	4.354190000000000000e+05
4.925680000000000000e+05	4.931250000000000000e+05
5.152310000000000000e+05	5.158640000000000000e+05
5.438710000000000000e+05	5.446120000000000000e+05
5.705550000000000000e+05	5.713440000000000000e+05
5.975440000000000000e+05	5.982670000000000000e+05
6.345040000000000000e+05	6.351390000000000000e+05
6.852280000000000000e+05	6.859520000000000000e+05
7.010440000000000000e+05	7.016320000000000000e+05
7.306690000000000000e+05	7.313510000000000000e+05
8.100780000000000000e+05	8.108890000000000000e+05
8.412550000000000000e+05	8.420010000000000000e+05
8.984920000000000000e+05	8.991800000000000000e+05
9.361610000000000000e+05	9.370490000000000000e+05
9.821080000000000000e+05	9.828080000000000000e+05
1.030519000000000000e+06	1.031326000000000000e+06
1.049567000000000000e+06	1.050399000000000000e+06
1.102898000000000000e+06	1.103641000000000000e+06
1.122375000000000000e+06	1.123177000000000000e+06
