3.012000000000000000e+03	4.192000000000000000e+03
3.192100000000000000e+04	3.362200000000000000e+04
4.527900000000000000e+04	4.696500000000000000e+04
6.817800000000000000e+04	6.988800000000000000e+04
9.710800000000000000e+04	9.883200000000000000e+04
1.113030000000000000e+05	1.129180000000000000e+05
1.388000000000000000e+05	1.404840000000000000e+05
1.672350000000000000e+05	1.689190000000000000e+05
1.955980000000000000e+05	1.972310000000000000e+05
2.322270000000000000e+05	2.337800000000000000e+05
2.866720000000000000e+05	2.881870000000000000e+05
3.009720000000000000e+05	3.023970000000000000e+05
3.196620000000000000e+05	3.211250000000000000e+05
3.575330000000000000e+05	3.591180000000000000e+05
3.851120000000000000e+05	3.865940000000000000e+05
4.152520000000000000e+05	4.167540000000000000e+05
4.376400000000000000e+05	4.391590000000000000e+05
4.950500000000000000e+05	4.966200000000000000e+05
5.172900000000000000e+05	5.188480000000000000e+05
5.461620000000000000e+05	5.477830000000000000e+05
5.726290000000000000e+05	5.742330000000000000e+05
5.998270000000000000e+05	6.014000000000000000e+05
6.370320000000000000e+05	6.387310000000000000e+05
6.876030000000000000e+05	6.892320000000000000e+05
7.031300000000000000e+05	7.047110000000000000e+05
7.327930000000000000e+05	7.344210000000000000e+05
8.127330000000000000e+05	8.144250000000000000e+05
8.438050000000000000e+05	8.454480000000000000e+05
9.010260000000000000e+05	9.027000000000000000e+05
9.388720000000000000e+05	9.405960000000000000e+05
9.846500000000000000e+05	9.863470000000000000e+05
1.033046000000000000e+06	1.034697000000000000e+06
1.052016000000000000e+06	1.053674000000000000e+06
1.105390000000000000e+06	1.107001000000000000e+06
